X	Y	Z		X	Z	Y
0	0	0		0	0	0
34,69160899	0	-4,635975195		3,469160899	0	-0,46359752
39,96987122	2	-1,55222248		3,996987122	0,2	-0,155222248
40,30876659	4,583134246	1,571492349		4,030876659	0,458313425	0,157149235
41,29548628	6,979453492	1,636900741		4,129548628	0,697945349	0,163690074
42,93062177	9,093852827	1,348351884		4,293062177	0,909385283	0,134835188
44,93225314	10,67260433	2,832635331		4,493225314	1,067260433	0,283263533
47,36545784	11,7238802	5,346923875		4,736545784	1,17238802	0,534692388
49,93841322	12	-2,480904185		4,993841322	1,2	-0,248090419
53,50329628	13,20007795	5,011582317		5,350329628	1,320007795	0,501158232
59,41030178	14,87820451	8,70078855		5,941030178	1,487820451	0,870078855
63,84923104	16,58320375	9,803544196		6,384923104	1,658320375	0,98035442
70,0280403	19,43496187	7,332302652		7,00280403	1,943496187	0,733230265
75,25626351	22,5243665	3,03967712		7,525626351	2,25243665	0,303967712
80,00919371	26,56435717	8,277586355		8,000919371	2,656435717	0,827758636
84,28683089	30,60434784	6,882832983		8,428683089	3,060434784	0,688283298
88,56446807	36,30786408	10,71749424		8,856446807	3,630786408	1,071749424
92,36681223	41,7737338	7,469146526		9,236681223	4,17737338	0,746914653
95,69386337	48,42783608	5,273067445		9,569386337	4,842783608	0,527306745
98,07032846	56,74546393	8,80929082		9,807032846	5,674546393	0,880929082
99,68397805	64,96776312	4,405545567		9,968397805	6,496776312	0,440554557
100	75	0		10	7,5	0
105,2058359	77,79796215	3,461598165		10,52058359	7,779796215	0,346159817
110,7276937	80,55889105	3,389637703		11,07276937	8,055889105	0,33896377
115,7623287	82,83259721	2,072053174		11,57623287	8,283259721	0,207205317
120,309741	85,10630337	2,467910461		12,0309741	8,510630337	0,246791046
125,6691913	87,86723227	3,388688703		12,56691913	8,786723227	0,33886887
130,5414188	90	-1,4210328		13,05414188	9	-0,14210328
