Iteraciones	X	Y	Z		
0	0	1	-1		
2	0,195090324	0,980785251	-1		
4	0,382683456	0,923879504	-1		
6	0,555570245	0,831469595	-1		
8	0,707106769	0,707106769	-1		
10	0,831469655	0,555570185	-1		
12	0,923879504	0,382683426	-1		
14	0,980785251	0,195090353	-1		
16	1	7,55E-08	-1		
18	0,98078531	-0,195090204	-1		
20	0,923879564	-0,382683277	-1		
22	0,831469655	-0,555570185	-1		
24	0,707106769	-0,707106769	-1		
26	0,555570185	-0,831469655	-1		
28	0,382683277	-0,923879623	-1		
30	0,195090085	-0,98078531	-1		
32	-3,26E-07	-1	-1		
34	-0,195090726	-0,980785191	-1		
36	-0,382683873	-0,923879325	-1		
38	-0,555570722	-0,831469297	-1		
40	-0,707107246	-0,707106352	-1		
42	-0,831470013	-0,555569649	-1		
44	-0,923879862	-0,382682681	-1		
46	-0,980785429	-0,195089459	-1		
48	-1	9,66E-07	-1		
50	-0,980785072	0,195091352	-1		
52	-0,923879087	0,382684469	-1		
54	-0,83146894	0,555571258	-1		
56	-0,707105875	0,707107663	-1		
58	-0,555569112	0,83147037	-1		
60	-0,382682085	0,9238801	-1		
62	-0,195088819	0,980785549	-1		
320	1,02E-08	0,904679894	-1		
321	0,1764943	0,887296736	-1		
322	0,346206039	0,835815251	-1		
323	0,502613246	0,752213836	-1		
324	0,6397053	0,6397053	-1		
325	0,752213895	0,502613187	-1		
326	0,835815251	0,346206039	-1		
327	0,887296736	0,176494345	-1		
328	0,904679894	9,63E-08	-1		
329	0,887296736	-0,176494151	-1		
330	0,835815251	-0,346205831	-1		
331	0,752213895	-0,502613127	-1		
332	0,6397053	-0,639705241	-1		
333	0,502613187	-0,752213836	-1		
334	0,34620589	-0,83581531	-1		
335	0,176494092	-0,887296736	-1		
336	-2,85E-07	-0,904679835	-1		
337	-0,176494643	-0,887296617	-1		
338	-0,346206397	-0,835815012	-1		
339	-0,502613664	-0,752213538	-1		
340	-0,639705718	-0,639704883	-1		
341	-0,752214193	-0,50261265	-1		
342	-0,835815549	-0,346205294	-1		
343	-0,887296855	-0,176493481	-1		
344	-0,904679894	9,02E-07	-1		
345	-0,887296498	0,176495254	-1		
346	-0,835814834	0,346206963	-1		
347	-0,75221324	0,5026142	-1		
348	-0,639704466	0,639706135	-1		
349	-0,502612174	0,752214551	-1		
350	-0,346204787	0,835815787	-1		
351	-0,176492915	0,887296975	-1		
352	3,45E-08	0,670421362	-0,934983194		
353	0,130792737	0,657539427	-0,934983194		
354	0,256559163	0,61938858	-0,934983194		
355	0,372466147	0,557434976	-0,934983194		
356	0,474059463	0,474059522	-0,934983194		
357	0,557434976	0,372466177	-0,934983194		
358	0,619388521	0,256559223	-0,934983194		
359	0,657539368	0,130792826	-0,934983194		
360	0,670421302	1,49E-07	-0,934983194		
361	0,657539368	-0,130792528	-0,934983194		
362	0,619388521	-0,256558925	-0,934983194		
363	0,557434976	-0,372465968	-0,934983194		
364	0,474059463	-0,474059343	-0,934983194		
365	0,372466087	-0,557434857	-0,934983194		
366	0,256559044	-0,619388461	-0,934983194		
367	0,130792588	-0,657539248	-0,934983194		
368	-1,84E-07	-0,670421183	-0,934983194		
369	-0,130792946	-0,657539189	-0,934983194		
370	-0,256559372	-0,619388282	-0,934983194		
371	-0,372466445	-0,557434618	-0,934983194		
372	-0,474059761	-0,474059075	-0,934983194		
373	-0,557435155	-0,372465611	-0,934983194		
374	-0,6193887	-0,256558508	-0,934983194		
375	-0,657539427	-0,130792022	-0,934983194		
376	-0,670421243	7,46E-07	-0,934983194		
377	-0,657539129	0,130793497	-0,934983194		
378	-0,619388163	0,256559908	-0,934983194		
379	-0,55743444	0,372466922	-0,934983194		
380	-0,474058837	0,474060148	-0,934983194		
381	-0,372465342	0,557435513	-0,934983194		
382	-0,25655818	0,619388998	-0,934983194		
383	-0,130791664	0,657539606	-0,934983194		
96	0,206149161	1,036381841	-0,920588911		
97	0,404376209	0,97625035	-0,920588911		
98	0,587063193	0,878602028	-0,920588911		
99	0,747189701	0,747189581	-0,920588911		
100	0,878602147	0,587063074	-0,920588911		
101	0,97625035	0,404376119	-0,920588911		
102	1,03638196	0,206149191	-0,920588911		
103	1,056685805	6,20E-08	-0,920588911		
104	1,03638196	-0,206149057	-0,920588911		
105	0,97625047	-0,40437603	-0,920588911		
106	0,878602147	-0,587063134	-0,920588911		
107	0,747189641	-0,747189701	-0,920588911		
108	0,587063074	-0,878602147	-0,920588911		
109	0,404375941	-0,976250529	-0,920588911		
110	0,206148908	-1,03638196	-0,920588911		
111	-3,49E-07	-1,056685686	-0,920588911		
112	-0,206149608	-1,036381721	-0,920588911		
113	-0,404376626	-0,976250172	-0,920588911		
114	-0,58706373	-0,878601789	-0,920588911		
115	-0,747190177	-0,747189283	-0,920588911		
116	-0,878602505	-0,587062538	-0,920588911		
117	-0,976250708	-0,404375345	-0,920588911		
118	-1,03638196	-0,206148267	-0,920588911		
119	-1,056685686	1,00E-06	-0,920588911		
120	-1,036381602	0,206150234	-0,920588911		
121	-0,976249993	0,404377252	-0,920588911		
